event_id,customer_id,event_type,event_timestamp,channel,utm_source,utm_campaign,page_url
EV0000044,C0007,demo_request,2024-04-12 02:22:16,instagram,instagram,brand_top_funnel,
EV0000045,C0008,page_view,2024-05-21 23:26:10,organic,organic,veganeiro_jan,/sobre
EV0000046,C0008,page_view,2024-05-22 04:21:55,google_ads,google_ads,natal_2022,/sobre
EV0000047,C0008,page_view,2024-05-23 21:56:34,tiktok,tiktok,semana_santa_2024,/contato
EV0000048,C0008,email_open,2024-05-25 02:31:41,email,email,lancamento_salmao,
EV0000049,C0008,signup,2024-05-25 12:51:42,email,email,brand_awareness_q1,
EV0000050,C0008,first_purchase,2024-05-26 06:38:57,referral,referral,semana_santa_2023,
EV0000051,C0009,page_view,2023-08-01 13:24:47,instagram,,,/blog/peixe-vegetal-e-saudavel
EV0000052,C0009,page_view,2023-08-02 15:40:07,referral,referral,lancamento_salmao,/receitas
EV0000053,C0009,page_view,2023-08-02 19:42:54,email,email,,/receitas
EV0000054,C0009,email_open,2023-08-04 07:37:48,instagram,,lancamento_polvo,
EV0000055,C0009,signup,2023-08-04 23:13:41,email,email,,
EV0000056,C0009,first_purchase,2023-08-06 09:59:57,referral,referral,brand_awareness_q1,
EV0000057,C0010,page_view,2024-09-27 10:22:02,instagram,instagram,brand_awareness_q1,/sobre
EV0000058,C0010,page_view,2024-09-27 20:35:53,linkedin,,black_friday_2023,/para-empresas
EV0000059,C0010,page_view,2024-09-29 16:03:19,organic,organic,black_friday_2023,/
EV0000060,C0010,email_open,2024-10-01 13:22:33,organic,organic,semana_santa_2022,
EV0000061,C0010,demo_request,2024-10-01 21:41:51,email,email,,
EV0000062,C0010,first_purchase,2024-10-03 03:53:29,tiktok,tiktok,brand_top_funnel,
EV0000063,C0010,repeat_purchase,2024-10-03 07:09:14,linkedin,linkedin,semana_santa_2022,
EV0000064,C0010,repeat_purchase,2024-10-03 12:56:44,tiktok,tiktok,brand_awareness_q1,
EV0000065,C0011,page_view,2023-04-08 13:16:13,referral,referral,lancamento_salmao,/produtos/salmao-vegetal
EV0000066,C0011,page_view,2023-04-08 21:16:55,referral,referral,lancamento_polvo,/produtos/salmao-vegetal
EV0000067,C0011,first_purchase,2023-04-10 18:40:19,google_ads,google_ads,black_friday_2023,
EV0000068,C0012,page_view,2023-01-14 02:08:10,instagram,instagram,,/produtos/atum-vegetal
EV0000069,C0012,page_view,2023-01-15 15:33:33,google_ads,google_ads,veganeiro_jan,/sobre
EV0000070,C0012,page_view,2023-01-16 19:55:06,referral,referral,,/blog/peixe-vegetal-e-saudavel
EV0000071,C0012,email_open,2023-01-18 05:10:12,email,email,semana_santa_2022,
EV0000072,C0012,email_click,2023-01-18 18:40:16,tiktok,tiktok,semana_santa_2022,
EV0000073,C0012,demo_request,2023-01-20 05:38:23,google_ads,,,
EV0000074,C0013,page_view,2022-09-14 20:41:29,email,email,black_friday_2023,/
EV0000075,C0013,page_view,2022-09-16 15:18:06,linkedin,linkedin,black_friday_2023,/produtos/atum-vegetal
EV0000076,C0013,page_view,2022-09-16 17:41:24,google_ads,google_ads,black_friday_2023,/
EV0000077,C0013,email_open,2022-09-16 21:05:12,email,email,veganeiro_jan,
EV0000078,C0013,signup,2022-09-17 08:21:44,instagram,instagram,natal_2022,
EV0000079,C0013,email_open,2022-09-17 09:03:16,linkedin,linkedin,,
EV0000080,C0013,email_click,2022-09-19 07:41:39,organic,organic,,
EV0000081,C0013,first_purchase,2022-09-21 04:56:25,organic,organic,lancamento_salmao,
EV0000082,C0014,page_view,2024-06-30 15:05:35,linkedin,linkedin,,/blog/peixe-vegetal-e-saudavel
EV0000083,C0014,page_view,2024-07-02 09:17:56,email,email,lancamento_salmao,/contato
EV0000084,C0015,page_view,2024-10-25 15:43:58,instagram,instagram,natal_2022,/
EV0000085,C0015,page_view,2024-10-26 05:17:32,linkedin,linkedin,,/
EV0000086,C0015,email_open,2024-10-26 16:44:12,tiktok,,semana_santa_2024,
EV0000087,C0015,first_purchase,2024-10-28 14:42:54,google_ads,google_ads,brand_awareness_q1,
EV0000088,C0016,page_view,2023-12-19 15:21:50,organic,organic,,/receitas
EV0000089,C0016,page_view,2023-12-20 10:21:36,linkedin,linkedin,veganeiro_jan,/para-empresas
EV0000090,C0016,email_open,2023-12-21 10:39:49,linkedin,linkedin,brand_awareness_q1,
EV0000091,C0016,email_open,2023-12-23 00:00:24,instagram,instagram,lancamento_salmao,
EV0000092,C0016,email_click,2023-12-24 01:05:26,tiktok,tiktok,lancamento_polvo,
EV0000093,C0016,demo_request,2023-12-24 18:40:50,instagram,instagram,brand_top_funnel,
EV0000094,C0016,first_purchase,2023-12-26 02:34:11,tiktok,tiktok,black_friday_2023,
EV0000095,C0016,repeat_purchase,2023-12-27 08:14:21,email,,lancamento_polvo,
EV0000096,C0016,repeat_purchase,2023-12-28 19:49:34,tiktok,tiktok,,
EV0000097,C0017,page_view,2022-03-14 07:44:13,referral,referral,,/blog/peixe-vegetal-e-saudavel
EV0000098,C0017,page_view,2022-03-15 10:06:40,google_ads,google_ads,,/para-empresas
EV0000099,C0018,page_view,2023-05-15 09:47:57,linkedin,linkedin,black_friday_2023,/para-empresas
EV0000100,C0018,page_view,2023-05-15 17:45:55,linkedin,linkedin,brand_awareness_q1,/para-empresas
EV0000101,C0018,page_view,2023-05-17 07:18:21,google_ads,google_ads,black_friday_2023,/onde-comprar
EV0000102,C0018,signup,2023-05-18 20:18:48,email,email,black_friday_2023,
EV0000103,C0018,email_open,2023-05-20 18:17:57,instagram,instagram,lancamento_salmao,
EV0000104,C0018,email_click,2023-05-20 22:52:38,linkedin,linkedin,lancamento_salmao,
EV0000105,C0019,page_view,2024-07-13 08:01:31,referral,referral,lancamento_salmao,/sobre
EV0000106,C0019,page_view,2024-07-13 22:20:23,referral,referral,veganeiro_jan,/onde-comprar
EV0000107,C0019,page_view,2024-07-14 19:37:59,organic,organic,,/onde-comprar
EV0000108,C0019,email_open,2024-07-14 23:41:22,linkedin,,semana_santa_2023,
EV0000109,C0019,signup,2024-07-16 11:28:20,google_ads,google_ads,brand_awareness_q1,
EV0000110,C0019,email_open,2024-07-17 05:18:34,google_ads,google_ads,veganeiro_2024,
EV0000111,C0019,email_click,2024-07-17 06:41:11,instagram,instagram,semana_santa_2023,
EV0000112,C0019,demo_request,2024-07-17 17:37:36,google_ads,google_ads,lancamento_salmao,
EV0000113,C0020,page_view,2023-01-25 20:51:15,organic,organic,semana_santa_2023,/sobre
EV0000114,C0020,page_view,2023-01-27 13:40:10,organic,organic,natal_2022,/produtos
EV0000115,C0020,email_open,2023-01-28 10:13:09,instagram,instagram,lancamento_salmao,
EV0000116,C0020,demo_request,2023-01-29 17:10:24,referral,,semana_santa_2024,
EV0000117,C0020,first_purchase,2023-01-29 22:58:37,linkedin,linkedin,veganeiro_jan,
EV0000118,C0020,repeat_purchase,2023-01-30 13:35:21,referral,referral,brand_top_funnel,
EV0000119,C0020,repeat_purchase,2023-01-31 02:59:59,organic,organic,natal_2022,
EV0000120,C0021,page_view,2023-10-15 16:41:01,email,email,brand_top_funnel,/sobre
EV0000121,C0021,page_view,2023-10-16 21:53:42,linkedin,linkedin,black_friday_2023,/blog/peixe-vegetal-e-saudavel
EV0000122,C0021,email_open,2023-10-17 19:44:34,organic,organic,black_friday_2023,
EV0000123,C0021,signup,2023-10-18 05:46:26,google_ads,google_ads,natal_2022,
EV0000124,C0021,demo_request,2023-10-19 22:17:39,email,email,lancamento_salmao,
EV0000125,C0022,page_view,2023-03-27 22:00:35,email,,lancamento_salmao,/receitas
EV0000126,C0022,page_view,2023-03-28 09:50:23,google_ads,google_ads,,/receitas
EV0000127,C0022,signup,2023-03-28 18:47:50,linkedin,linkedin,veganeiro_2024,
EV0000128,C0022,first_purchase,2023-03-30 15:22:47,instagram,instagram,,
EV0000129,C0022,repeat_purchase,2023-03-31 13:09:54,organic,organic,semana_santa_2023,
EV0000130,C0022,repeat_purchase,2023-04-02 09:48:31,instagram,instagram,brand_awareness_q1,
EV0000131,C0023,page_view,2024-10-09 06:16:22,organic,organic,semana_santa_2022,/produtos
EV0000132,C0023,page_view,2024-10-10 05:12:28,instagram,instagram,semana_santa_2023,/onde-comprar
EV0000133,C0023,page_view,2024-10-12 02:29:41,organic,organic,,/produtos/salmao-vegetal
EV0000134,C0023,email_open,2024-10-13 01:21:32,organic,organic,natal_2022,
EV0000135,C0024,page_view,2022-09-18 06:47:10,linkedin,linkedin,black_friday_2023,/
EV0000136,C0024,page_view,2022-09-19 00:37:20,instagram,instagram,natal_2022,/onde-comprar
EV0000137,C0024,page_view,2022-09-19 15:53:02,organic,organic,,/produtos
EV0000138,C0024,demo_request,2022-09-20 13:13:58,google_ads,google_ads,black_friday_2023,
EV0000139,C0025,page_view,2022-06-19 08:52:50,referral,referral,veganeiro_jan,/contato
EV0000140,C0025,page_view,2022-06-20 23:57:35,organic,organic,,/sobre
EV0000141,C0025,page_view,2022-06-21 05:34:12,google_ads,google_ads,black_friday_2023,/contato
EV0000142,C0025,email_open,2022-06-21 10:38:53,referral,,,
EV0000143,C0025,repeat_purchase,2022-06-22 04:56:06,tiktok,tiktok,,
EV0000144,C0025,repeat_purchase,2022-06-23 11:37:43,organic,organic,lancamento_polvo,
EV0000145,C0026,page_view,2023-02-06 06:09:56,organic,organic,brand_awareness_q1,/produtos/atum-vegetal
EV0000146,C0026,page_view,2023-02-07 17:38:42,google_ads,google_ads,,/onde-comprar
EV0000147,C0026,email_open,2023-02-09 09:50:04,google_ads,,brand_awareness_q1,
EV0000148,C0027,page_view,2023-03-23 10:20:38,email,email,semana_santa_2022,/contato
EV0000149,C0027,page_view,2023-03-24 15:02:36,tiktok,tiktok,lancamento_polvo,/contato
EV0000150,C0027,page_view,2023-03-25 10:04:08,google_ads,google_ads,black_friday_2023,/
EV0000151,C0027,email_open,2023-03-27 08:10:11,email,,brand_top_funnel,
EV0000152,C0027,first_purchase,2023-03-27 20:44:33,tiktok,tiktok,,
EV0000153,C0028,page_view,2023-07-05 20:51:59,organic,organic,lancamento_polvo,/contato
EV0000154,C0028,page_view,2023-07-06 16:51:16,tiktok,tiktok,brand_top_funnel,/contato
EV0000155,C0028,page_view,2023-07-08 02:46:17,tiktok,tiktok,veganeiro_2024,/produtos/salmao-vegetal
EV0000156,C0028,email_open,2023-07-08 16:06:00,tiktok,tiktok,lancamento_salmao,
EV0000157,C0028,signup,2023-07-09 06:01:33,referral,referral,veganeiro_jan,
EV0000158,C0028,first_purchase,2023-07-09 23:43:07,referral,referral,brand_top_funnel,
EV0000159,C0028,repeat_purchase,2023-07-10 01:38:02,google_ads,google_ads,lancamento_polvo,
EV0000160,C0028,repeat_purchase,2023-07-11 02:16:18,tiktok,tiktok,brand_top_funnel,
EV0000161,C0029,page_view,2023-02-09 00:27:25,linkedin,,lancamento_salmao,/produtos
EV0000162,C0029,page_view,2023-02-10 23:11:52,email,email,natal_2022,/para-empresas
EV0000163,C0029,email_open,2023-02-11 17:23:20,tiktok,tiktok,,
EV0000164,C0029,first_purchase,2023-02-13 00:05:31,instagram,instagram,brand_awareness_q1,
EV0000165,C0029,repeat_purchase,2023-02-13 13:31:27,email,email,semana_santa_2022,
EV0000166,C0029,repeat_purchase,2023-02-14 23:57:43,tiktok,tiktok,brand_top_funnel,
EV0000167,C0030,page_view,2024-08-29 09:42:01,organic,organic,veganeiro_jan,/blog/peixe-vegetal-e-saudavel
EV0000168,C0030,page_view,2024-08-30 13:42:21,referral,referral,semana_santa_2023,/
EV0000169,C0031,page_view,2022-09-23 17:44:01,instagram,instagram,semana_santa_2024,/blog/peixe-vegetal-e-saudavel
EV0000170,C0031,page_view,2022-09-23 19:38:02,instagram,instagram,veganeiro_2024,/sobre
EV0000171,C0031,page_view,2022-09-25 00:12:31,google_ads,google_ads,veganeiro_jan,/onde-comprar
EV0000172,C0031,email_open,2022-09-26 06:38:59,referral,referral,semana_santa_2023,
EV0000173,C0031,signup,2022-09-28 04:36:15,linkedin,linkedin,natal_2022,
EV0000174,C0031,demo_request,2022-09-28 04:50:32,linkedin,linkedin,brand_awareness_q1,
EV0000175,C0031,repeat_purchase,2022-09-29 09:28:20,tiktok,tiktok,semana_santa_2024,
EV0000176,C0031,repeat_purchase,2022-09-29 16:24:20,organic,organic,,
EV0000177,C0032,page_view,2023-11-29 19:59:06,referral,referral,lancamento_salmao,/blog/peixe-vegetal-e-saudavel
EV0000178,C0032,page_view,2023-12-01 02:23:43,email,email,veganeiro_jan,/contato
EV0000179,C0032,page_view,2023-12-01 18:19:55,tiktok,tiktok,black_friday_2023,/produtos/atum-vegetal
EV0000180,C0032,email_open,2023-12-03 14:31:23,referral,referral,natal_2022,
EV0000181,C0033,page_view,2023-11-15 08:32:45,google_ads,google_ads,brand_top_funnel,/
EV0000182,C0033,page_view,2023-11-15 15:48:48,google_ads,google_ads,,/
EV0000183,C0033,email_open,2023-11-16 09:28:30,tiktok,tiktok,lancamento_polvo,
EV0000184,C0033,signup,2023-11-17 01:21:44,linkedin,linkedin,semana_santa_2023,
EV0000185,C0033,demo_request,2023-11-18 03:50:54,referral,referral,,
EV0000186,C0033,first_purchase,2023-11-19 14:52:23,organic,organic,brand_awareness_q1,
EV0000187,C0034,page_view,2024-03-06 22:53:15,google_ads,google_ads,,/produtos/salmao-vegetal
EV0000188,C0034,page_view,2024-03-07 21:15:34,linkedin,linkedin,,/para-empresas
EV0000189,C0034,page_view,2024-03-08 17:15:27,instagram,,natal_2022,/para-empresas
EV0000190,C0034,email_open,2024-03-10 04:01:00,instagram,instagram,veganeiro_2024,
EV0000191,C0034,signup,2024-03-10 23:23:10,referral,referral,veganeiro_2024,
EV0000192,C0034,demo_request,2024-03-12 00:32:12,google_ads,google_ads,,
EV0000193,C0034,repeat_purchase,2024-03-13 01:08:20,tiktok,tiktok,veganeiro_2024,
EV0000194,C0034,repeat_purchase,2024-03-13 11:28:01,tiktok,tiktok,semana_santa_2023,
EV0000195,C0035,page_view,2022-11-03 17:24:13,organic,organic,,/receitas
EV0000196,C0035,page_view,2022-11-05 04:28:38,tiktok,tiktok,veganeiro_jan,/sobre
EV0000197,C0035,page_view,2022-11-05 07:25:09,referral,referral,semana_santa_2023,/produtos
EV0000198,C0035,email_open,2022-11-06 19:16:41,referral,referral,veganeiro_jan,
EV0000199,C0035,signup,2022-11-07 23:22:00,tiktok,tiktok,veganeiro_jan,
EV0000200,C0035,demo_request,2022-11-08 19:22:31,google_ads,google_ads,lancamento_polvo,
EV0000201,C0036,page_view,2022-08-23 13:12:31,tiktok,tiktok,semana_santa_2022,/produtos/salmao-vegetal
EV0000202,C0036,page_view,2022-08-24 17:54:15,email,email,black_friday_2023,/receitas
EV0000203,C0036,page_view,2022-08-24 22:34:30,email,email,brand_top_funnel,/produtos
EV0000204,C0036,email_open,2022-08-26 20:21:38,organic,organic,brand_awareness_q1,
EV0000205,C0036,email_open,2022-08-27 13:48:26,organic,organic,natal_2022,
EV0000206,C0036,email_click,2022-08-29 08:27:28,organic,organic,black_friday_2023,
EV0000207,C0036,first_purchase,2022-08-29 17:28:37,google_ads,google_ads,,
EV0000208,C0037,page_view,2024-04-28 21:50:12,email,,semana_santa_2024,/produtos/atum-vegetal
EV0000209,C0037,page_view,2024-04-28 22:37:59,google_ads,google_ads,semana_santa_2023,/produtos
EV0000210,C0037,page_view,2024-04-29 05:38:59,google_ads,google_ads,,/receitas
EV0000211,C0037,email_open,2024-04-29 15:22:38,linkedin,linkedin,lancamento_salmao,
EV0000212,C0038,page_view,2024-10-01 20:12:15,tiktok,,semana_santa_2022,/blog/peixe-vegetal-e-saudavel
EV0000213,C0038,page_view,2024-10-02 05:11:44,instagram,instagram,natal_2022,/para-empresas
EV0000214,C0038,email_open,2024-10-03 10:25:12,email,email,brand_top_funnel,
EV0000215,C0038,signup,2024-10-03 17:58:12,google_ads,google_ads,,
EV0000216,C0038,email_open,2024-10-04 15:24:34,tiktok,tiktok,semana_santa_2022,
EV0000217,C0038,email_click,2024-10-04 20:07:04,referral,referral,black_friday_2023,
EV0000218,C0038,demo_request,2024-10-06 13:11:49,referral,referral,black_friday_2023,
EV0000219,C0039,page_view,2022-02-18 08:17:46,linkedin,linkedin,black_friday_2023,/contato
EV0000220,C0039,page_view,2022-02-19 11:35:21,linkedin,linkedin,,/blog/peixe-vegetal-e-saudavel
EV0000221,C0039,page_view,2022-02-20 05:11:08,instagram,instagram,semana_santa_2023,/sobre
EV0000222,C0039,email_open,2022-02-22 01:00:39,referral,referral,natal_2022,
EV0000223,C0039,first_purchase,2022-02-22 18:29:19,organic,organic,,
EV0000224,C0040,page_view,2024-02-11 05:15:57,tiktok,tiktok,veganeiro_2024,/produtos/salmao-vegetal
EV0000225,C0040,page_view,2024-02-12 09:46:24,instagram,instagram,,/
EV0000226,C0040,signup,2024-02-13 07:59:18,referral,referral,lancamento_polvo,
EV0000227,C0040,email_open,2024-02-13 23:53:43,email,,,
EV0000228,C0040,email_click,2024-02-14 01:51:20,google_ads,google_ads,,
EV0000229,C0040,first_purchase,2024-02-15 11:58:51,organic,organic,lancamento_polvo,
EV0000230,C0040,repeat_purchase,2024-02-17 02:47:35,organic,organic,semana_santa_2022,
EV0000231,C0040,repeat_purchase,2024-02-18 09:44:41,email,email,brand_top_funnel,
EV0000232,C0041,page_view,2022-12-06 17:09:55,referral,,brand_top_funnel,/para-empresas
EV0000233,C0041,page_view,2022-12-06 20:13:42,organic,organic,brand_awareness_q1,/para-empresas
EV0000234,C0041,page_view,2022-12-08 11:03:37,tiktok,tiktok,,/receitas
EV0000235,C0041,signup,2022-12-08 19:07:44,google_ads,google_ads,lancamento_polvo,
EV0000236,C0041,first_purchase,2022-12-09 11:41:10,linkedin,linkedin,veganeiro_2024,
EV0000237,C0041,repeat_purchase,2022-12-09 17:41:28,linkedin,linkedin,natal_2022,
EV0000238,C0041,repeat_purchase,2022-12-10 06:45:06,email,email,,
EV0000239,C0042,page_view,2023-01-23 00:04:33,organic,organic,veganeiro_2024,/contato
EV0000240,C0042,page_view,2023-01-23 21:23:18,linkedin,linkedin,,/sobre
EV0000241,C0042,page_view,2023-01-25 05:06:40,organic,organic,natal_2022,/produtos/atum-vegetal
EV0000242,C0042,email_open,2023-01-25 09:30:29,referral,referral,black_friday_2023,
EV0000243,C0042,repeat_purchase,2023-01-25 12:02:33,google_ads,google_ads,semana_santa_2023,
EV0000244,C0042,repeat_purchase,2023-01-26 10:50:30,google_ads,,semana_santa_2023,
EV0000245,C0043,page_view,2022-09-05 02:14:21,organic,organic,brand_awareness_q1,/sobre
EV0000246,C0043,page_view,2022-09-05 21:25:49,google_ads,google_ads,brand_awareness_q1,/
EV0000247,C0043,email_open,2022-09-05 22:32:30,referral,,,
EV0000248,C0043,email_open,2022-09-06 00:01:55,google_ads,google_ads,,
EV0000249,C0043,email_click,2022-09-06 14:46:41,referral,referral,semana_santa_2022,
EV0000250,C0043,first_purchase,2022-09-07 19:59:01,referral,referral,lancamento_salmao,
EV0000251,C0044,page_view,2023-10-22 02:14:23,tiktok,tiktok,veganeiro_jan,/blog/peixe-vegetal-e-saudavel
EV0000252,C0044,page_view,2023-10-23 00:01:50,email,email,black_friday_2023,/onde-comprar
EV0000253,C0044,signup,2023-10-24 11:22:14,linkedin,linkedin,semana_santa_2024,
EV0000254,C0044,first_purchase,2023-10-25 03:45:34,linkedin,linkedin,semana_santa_2022,
EV0000255,C0045,page_view,2022-09-11 00:08:02,organic,organic,lancamento_salmao,/produtos/salmao-vegetal
EV0000256,C0045,page_view,2022-09-12 11:42:47,tiktok,tiktok,lancamento_salmao,/contato
EV0000257,C0045,page_view,2022-09-12 17:15:58,tiktok,tiktok,,/para-empresas
EV0000258,C0045,email_open,2022-09-14 10:47:05,google_ads,,veganeiro_jan,
EV0000259,C0045,signup,2022-09-16 02:28:25,organic,organic,,
EV0000260,C0045,repeat_purchase,2022-09-18 00:40:40,organic,organic,veganeiro_jan,
EV0000261,C0045,repeat_purchase,2022-09-19 05:40:43,linkedin,linkedin,semana_santa_2024,
EV0000262,C0046,page_view,2023-11-09 06:04:12,referral,referral,brand_awareness_q1,/blog/peixe-vegetal-e-saudavel
EV0000263,C0046,page_view,2023-11-10 23:39:47,linkedin,linkedin,natal_2022,/para-empresas
EV0000264,C0046,page_view,2023-11-11 17:06:32,email,email,,/produtos/atum-vegetal
EV0000265,C0046,signup,2023-11-13 11:50:43,google_ads,google_ads,,
EV0000266,C0046,email_open,2023-11-14 17:30:15,referral,referral,brand_top_funnel,
EV0000267,C0046,email_click,2023-11-14 23:51:45,organic,organic,,
EV0000268,C0046,demo_request,2023-11-15 08:16:54,email,,semana_santa_2023,
EV0000269,C0047,page_view,2022-05-18 09:56:36,referral,referral,lancamento_polvo,/produtos
EV0000270,C0047,page_view,2022-05-19 20:35:56,tiktok,tiktok,,/receitas
EV0000271,C0047,page_view,2022-05-21 00:48:25,referral,referral,semana_santa_2022,/sobre
EV0000272,C0047,email_open,2022-05-22 23:54:16,instagram,instagram,lancamento_salmao,
EV0000273,C0048,page_view,2023-03-24 21:34:59,organic,organic,lancamento_polvo,/contato
EV0000274,C0048,page_view,2023-03-26 01:40:55,tiktok,tiktok,veganeiro_2024,/produtos/atum-vegetal
EV0000275,C0048,email_open,2023-03-27 15:19:29,referral,referral,,
EV0000276,C0048,demo_request,2023-03-28 00:22:10,instagram,instagram,,
EV0000277,C0049,page_view,2022-11-01 23:45:07,email,email,semana_santa_2023,/
EV0000278,C0049,page_view,2022-11-02 05:39:20,referral,referral,veganeiro_jan,/
EV0000279,C0049,page_view,2022-11-04 02:09:32,instagram,instagram,brand_awareness_q1,/sobre
EV0000280,C0049,email_open,2022-11-04 19:41:43,referral,,,
EV0000281,C0050,page_view,2024-01-16 21:42:10,linkedin,linkedin,brand_awareness_q1,/sobre
EV0000282,C0050,page_view,2024-01-17 11:30:17,linkedin,linkedin,semana_santa_2024,/sobre
EV0000283,C0050,page_view,2024-01-18 09:20:29,tiktok,tiktok,,/receitas
EV0000284,C0050,signup,2024-01-19 07:46:51,referral,referral,black_friday_2023,
EV0000285,C0051,page_view,2022-09-01 21:19:13,tiktok,tiktok,,/sobre
EV0000286,C0051,page_view,2022-09-01 22:23:55,email,email,semana_santa_2024,/contato
EV0000287,C0051,email_open,2022-09-03 03:10:50,referral,referral,semana_santa_2023,
EV0000288,C0051,first_purchase,2022-09-03 20:46:46,linkedin,linkedin,veganeiro_jan,
EV0000289,C0052,page_view,2024-07-05 10:51:18,email,email,lancamento_salmao,/produtos
EV0000290,C0052,page_view,2024-07-06 18:41:19,referral,referral,,/produtos/salmao-vegetal
EV0000291,C0052,page_view,2024-07-07 00:00:13,google_ads,google_ads,veganeiro_jan,/produtos/atum-vegetal
EV0000292,C0052,email_open,2024-07-08 07:07:06,tiktok,tiktok,lancamento_salmao,
EV0000293,C0052,signup,2024-07-10 05:18:27,linkedin,linkedin,black_friday_2023,
EV0000294,C0052,demo_request,2024-07-10 07:24:41,instagram,instagram,semana_santa_2024,
EV0000295,C0052,first_purchase,2024-07-11 11:07:49,email,email,,
EV0000296,C0053,page_view,2023-11-30 07:35:02,tiktok,,natal_2022,/produtos
EV0000297,C0053,page_view,2023-12-02 06:28:11,email,email,black_friday_2023,/produtos/atum-vegetal
EV0000298,C0053,page_view,2023-12-04 04:54:11,organic,organic,,/sobre
EV0000299,C0053,email_open,2023-12-04 19:02:54,linkedin,linkedin,natal_2022,
EV0000300,C0053,email_open,2023-12-06 12:10:20,tiktok,tiktok,veganeiro_2024,
EV0000301,C0053,email_click,2023-12-08 04:41:09,tiktok,tiktok,brand_awareness_q1,
